Data,Concurso,Num 1,Num 2,Num 3,Num 4,Num 5,Num 6
18/02/2004,539,4,22,28,30,44,49
21/02/2004,540,13,27,49,52,57,58
28/02/2004,541,4,6,19,28,35,49
03/03/2004,542,35,37,42,46,49,54
06/03/2004,543,11,17,33,34,47,56
10/03/2004,544,17,29,35,40,43,57
13/03/2004,545,4,5,13,17,46,54
17/03/2004,546,4,13,28,30,53,59
20/03/2004,547,14,47,49,51,58,59
24/03/2004,548,8,13,22,46,51,58
27/03/2004,549,16,17,38,39,45,56
31/03/2004,550,12,21,46,48,56,57
03/04/2004,551,9,22,47,49,52,54
07/04/2004,552,4,43,46,53,54,58
10/04/2004,553,15,29,31,42,47,60
14/04/2004,554,5,23,31,33,45,49
17/04/2004,555,8,10,17,30,33,45
21/04/2004,556,8,12,18,23,38,49
24/04/2004,557,7,14,31,57,58,59
28/04/2004,558,6,13,17,25,36,53
01/05/2004,559,2,11,18,30,32,58
05/05/2004,560,1,20,36,39,49,55
08/05/2004,561,16,23,35,37,55,57
12/05/2004,562,5,8,23,34,44,51
15/05/2004,563,10,13,20,32,38,49
19/05/2004,564,7,31,34,35,37,45
22/05/2004,565,6,13,17,18,20,37
26/05/2004,566,11,31,38,41,57,58
29/05/2004,567,13,17,22,25,29,41
02/06/2004,568,3,9,14,15,32,57
05/06/2004,569,15,32,33,35,36,51
09/06/2004,570,12,13,14,31,50,51
12/06/2004,571,3,9,16,20,33,60
16/06/2004,572,6,17,22,29,40,59
19/06/2004,573,2,10,17,23,32,44
23/06/2004,574,5,18,21,29,35,48
26/06/2004,575,7,8,18,39,43,52
30/06/2004,576,8,23,24,28,31,47
03/07/2004,577,3,18,23,48,56,58
07/07/2004,578,4,9,15,17,34,39
10/07/2004,579,15,16,18,28,38,47
14/07/2004,580,14,17,25,30,39,52
17/07/2004,581,13,29,40,45,51,59
21/07/2004,582,6,7,20,41,43,55
24/07/2004,583,7,8,23,30,32,53
28/07/2004,584,12,24,33,36,39,57
31/07/2004,585,11,13,38,39,45,54
04/08/2004,586,2,18,29,30,36,60
07/08/2004,587,11,13,45,46,53,55
11/08/2004,588,6,7,8,13,33,59
14/08/2004,589,4,5,18,25,28,51
18/08/2004,590,1,3,18,34,50,58
21/08/2004,591,13,14,42,47,55,59
25/08/2004,592,1,25,27,29,49,59
28/08/2004,593,10,13,29,47,53,55
01/09/2004,594,1,2,25,43,50,54
04/09/2004,595,11,14,28,43,54,60
08/09/2004,596,22,27,29,40,42,56
11/09/2004,597,5,16,34,38,50,53
15/09/2004,598,4,6,9,23,45,51
18/09/2004,599,16,18,31,34,39,54
22/09/2004,600,10,19,22,29,30,37
25/09/2004,601,7,13,38,46,55,60
29/09/2004,602,4,8,11,12,29,44
02/10/2004,603,15,25,41,46,49,51
06/10/2004,604,4,24,44,49,52,53
09/10/2004,605,6,23,32,35,41,55
13/10/2004,606,6,11,19,27,41,59
16/10/2004,607,6,13,19,24,30,37
20/10/2004,608,2,6,15,58,59,60
23/10/2004,609,25,30,43,45,47,49
27/10/2004,610,16,21,22,33,48,49
30/10/2004,611,15,18,33,50,53,55
03/11/2004,612,6,13,19,44,54,55
06/11/2004,613,12,16,31,48,57,60
10/11/2004,614,5,8,10,27,31,51
13/11/2004,615,2,12,16,24,26,54
17/11/2004,616,3,5,25,33,36,49
20/11/2004,617,3,8,10,13,24,60
24/11/2004,618,8,12,14,16,19,46
27/11/2004,619,1,3,13,22,29,32
01/12/2004,620,26,29,31,49,50,57
04/12/2004,621,19,27,29,38,50,59
08/12/2004,622,9,23,30,42,49,55
11/12/2004,623,8,23,34,39,43,52
15/12/2004,624,12,24,32,40,42,59
18/12/2004,625,7,8,18,22,39,49
22/12/2004,626,1,13,19,45,56,58
29/12/2004,627,8,16,22,30,56,58
05/01/2005,628,15,16,39,40,47,51
08/01/2005,629,12,16,20,45,53,60
12/01/2005,630,1,20,28,32,44,47
15/01/2005,631,2,19,28,48,51,54
19/01/2005,632,5,11,22,27,46,50
22/01/2005,633,10,13,24,41,42,56
26/01/2005,634,8,20,26,37,42,49
29/01/2005,635,26,28,30,32,34,50
02/02/2005,636,11,18,43,48,52,58
05/02/2005,637,10,11,36,41,42,50
12/02/2005,638,13,35,39,45,51,60
16/02/2005,639,12,19,42,46,59,60
19/02/2005,640,1,9,13,17,33,34
23/02/2005,641,17,36,40,44,51,56
26/02/2005,642,14,24,37,40,42,45
